Entity,Code,Date,Total confirmed cases of COVID-19
Afghanistan,AFG,2020-02-24,1
Afghanistan,AFG,2020-02-25,1
Afghanistan,AFG,2020-02-26,1
Afghanistan,AFG,2020-02-27,1
Afghanistan,AFG,2020-02-28,1
Afghanistan,AFG,2020-02-29,1
Afghanistan,AFG,2020-03-01,1
Afghanistan,AFG,2020-03-02,1
Afghanistan,AFG,2020-03-03,2
Afghanistan,AFG,2020-03-04,4
Afghanistan,AFG,2020-03-05,4
Afghanistan,AFG,2020-03-06,4
Afghanistan,AFG,2020-03-07,4
Afghanistan,AFG,2020-03-08,5
Afghanistan,AFG,2020-03-09,7
Afghanistan,AFG,2020-03-10,8
Afghanistan,AFG,2020-03-11,11
Afghanistan,AFG,2020-03-12,12
Afghanistan,AFG,2020-03-13,13
Afghanistan,AFG,2020-03-14,15
Afghanistan,AFG,2020-03-15,16
Afghanistan,AFG,2020-03-16,18
Afghanistan,AFG,2020-03-17,20
Afghanistan,AFG,2020-03-18,24
Afghanistan,AFG,2020-03-19,25
Afghanistan,AFG,2020-03-20,29
Afghanistan,AFG,2020-03-21,30
Afghanistan,AFG,2020-03-22,34
Afghanistan,AFG,2020-03-23,41
Afghanistan,AFG,2020-03-24,43
Afghanistan,AFG,2020-03-25,76
Afghanistan,AFG,2020-03-26,80
Afghanistan,AFG,2020-03-27,91
Afghanistan,AFG,2020-03-28,107
Afghanistan,AFG,2020-03-29,118
Afghanistan,AFG,2020-03-30,146
Afghanistan,AFG,2020-03-31,175
Afghanistan,AFG,2020-04-01,197
Afghanistan,AFG,2020-04-02,240
Afghanistan,AFG,2020-04-03,275
Afghanistan,AFG,2020-04-04,300
Afghanistan,AFG,2020-04-05,338
Afghanistan,AFG,2020-04-06,368
Afghanistan,AFG,2020-04-07,424
Afghanistan,AFG,2020-04-08,445
Afghanistan,AFG,2020-04-09,485
Afghanistan,AFG,2020-04-10,532
Afghanistan,AFG,2020-04-11,556
Afghanistan,AFG,2020-04-12,608
Afghanistan,AFG,2020-04-13,666
Afghanistan,AFG,2020-04-14,715
Afghanistan,AFG,2020-04-15,785
Afghanistan,AFG,2020-04-16,841
Afghanistan,AFG,2020-04-17,907
Afghanistan,AFG,2020-04-18,934
Afghanistan,AFG,2020-04-19,997
Afghanistan,AFG,2020-04-20,1027
Afghanistan,AFG,2020-04-21,1093
Afghanistan,AFG,2020-04-22,1177
Afghanistan,AFG,2020-04-23,1236
Afghanistan,AFG,2020-04-24,1331
Afghanistan,AFG,2020-04-25,1464
Afghanistan,AFG,2020-04-26,1532
Afghanistan,AFG,2020-04-27,1704
Afghanistan,AFG,2020-04-28,1830
Afghanistan,AFG,2020-04-29,1940
Afghanistan,AFG,2020-04-30,2127
Afghanistan,AFG,2020-05-01,2291
